"iso3","Year","GPI"
"AFG",2008,3.095
"AFG",2009,3.19099999999999
"AFG",2010,3.04
"AFG",2011,3.02099999999999
"AFG",2012,3.15399999999999
"AFG",2013,3.258
"AFG",2014,3.212
"AFG",2015,3.31599999999999
"AFG",2016,3.362
"AFG",2017,3.41199999999999
"AFG",2018,3.51299999999999
"AFG",2019,3.52
"AFG",2020,3.592
"AFG",2021,3.6
"AFG",2022,3.55399999999999
"ALB",2008,1.806
"ALB",2009,1.77899999999999
"ALB",2010,1.77
"ALB",2011,1.79699999999999
"ALB",2012,1.79899999999999
"ALB",2013,1.816
"ALB",2014,1.81
"ALB",2015,1.806
"ALB",2016,1.76099999999999
"ALB",2017,1.774
"ALB",2018,1.714
"ALB",2019,1.712
"ALB",2020,1.77099999999999
"ALB",2021,1.76899999999999
"ALB",2022,1.76099999999999
"DZA",2008,2.306
"DZA",2009,2.333
"DZA",2010,2.333
"DZA",2011,2.479
"DZA",2012,2.399
"DZA",2013,2.383
"DZA",2014,2.293
"DZA",2015,2.26299999999999
"DZA",2016,2.238
"DZA",2017,2.206
"DZA",2018,2.212
"DZA",2019,2.23499999999999
"DZA",2020,2.234
"DZA",2021,2.258
"DZA",2022,2.14599999999999
"AGO",2008,2.06199999999999
"AGO",2009,2.06599999999999
"AGO",2010,2.00599999999999
"AGO",2011,2.04899999999999
"AGO",2012,2.087
"AGO",2013,2.089
"AGO",2014,2.06199999999999
"AGO",2015,1.957
"AGO",2016,1.974
"AGO",2017,1.93799999999999
"AGO",2018,1.972
"AGO",2019,1.955
"AGO",2020,1.989
"AGO",2021,2.02499999999999
"AGO",2022,1.982
"ARG",2008,1.818
"ARG",2009,1.946
"ARG",2010,1.947
"ARG",2011,1.909
"ARG",2012,1.872
"ARG",2013,2.00099999999999
"ARG",2014,1.905
"ARG",2015,1.984
"ARG",2016,1.981
"ARG",2017,1.93599999999999
"ARG",2018,1.91399999999999
"ARG",2019,1.978
"ARG",2020,1.948
"ARG",2021,1.931
"ARG",2022,1.911
"ARM",2008,2.196
"ARM",2009,2.21899999999999
"ARM",2010,2.229
"ARM",2011,2.193
"ARM",2012,2.194
"ARM",2013,2.198
"ARM",2014,2.13399999999999
"ARM",2015,2.157
"ARM",2016,2.105
"ARM",2017,2.177
"ARM",2018,2.228
"ARM",2019,2.121
"ARM",2020,1.952
"ARM",2021,2.016
"ARM",2022,1.992
"AUS",2008,1.349
"AUS",2009,1.37599999999999
"AUS",2010,1.387
"AUS",2011,1.439
"AUS",2012,1.497
"AUS",2013,1.451
"AUS",2014,1.38599999999999
"AUS",2015,1.359
"AUS",2016,1.38799999999999
"AUS",2017,1.41399999999999
"AUS",2018,1.42199999999999
"AUS",2019,1.427
"AUS",2020,1.42799999999999
"AUS",2021,1.485
"AUS",2022,1.56499999999999
"AUT",2008,1.347
"AUT",2009,1.365
"AUT",2010,1.357
"AUT",2011,1.395
"AUT",2012,1.364
"AUT",2013,1.28299999999999
"AUT",2014,1.26499999999999
"AUT",2015,1.233
"AUT",2016,1.22
"AUT",2017,1.298
"AUT",2018,1.26299999999999
"AUT",2019,1.249
"AUT",2020,1.25099999999999
"AUT",2021,1.318
"AUT",2022,1.3
"AZE",2008,2.28299999999999
"AZE",2009,2.31999999999999
"AZE",2010,2.342
"AZE",2011,2.34799999999999
"AZE",2012,2.36799999999999
"AZE",2013,2.456
"AZE",2014,2.38899999999999
"AZE",2015,2.394
"AZE",2016,2.38
"AZE",2017,2.434
"AZE",2018,2.41299999999999
"AZE",2019,2.37599999999999
"AZE",2020,2.144
"AZE",2021,2.286
"AZE",2022,2.43699999999999
"BHR",2008,1.869
"BHR",2009,1.868
"BHR",2010,1.812
"BHR",2011,2.14699999999999
"BHR",2012,2.068
"BHR",2013,2.152
"BHR",2014,2.206
"BHR",2015,2.11399999999999
"BHR",2016,2.19099999999999
"BHR",2017,2.29099999999999
"BHR",2018,2.27199999999999
"BHR",2019,2.19099999999999
"BHR",2020,2.103
"BHR",2021,2.075
"BHR",2022,2.085
"BGD",2008,2.039
"BGD",2009,2.028
"BGD",2010,2.11
"BGD",2011,2.13399999999999
"BGD",2012,2.15799999999999
"BGD",2013,2.09399999999999
"BGD",2014,2.012
"BGD",2015,1.998
"BGD",2016,2.00599999999999
"BGD",2017,1.969
"BGD",2018,2.02199999999999
"BGD",2019,2.109
"BGD",2020,2.091
"BGD",2021,2.077
"BGD",2022,2.067
"BLR",2008,2.12699999999999
"BLR",2009,2.137
"BLR",2010,2.144
"BLR",2011,2.128
"BLR",2012,2.12199999999999
"BLR",2013,2.109
"BLR",2014,2.08
"BLR",2015,2.12699999999999
"BLR",2016,2.05699999999999
"BLR",2017,1.991
"BLR",2018,2.019
"BLR",2019,2.04199999999999
"BLR",2020,2.04199999999999
"BLR",2021,2.225
"BLR",2022,2.25899999999999
"BEL",2008,1.468
"BEL",2009,1.479
"BEL",2010,1.489
"BEL",2011,1.476
"BEL",2012,1.476
"BEL",2013,1.437
"BEL",2014,1.401
"BEL",2015,1.39199999999999
"BEL",2016,1.38599999999999
"BEL",2017,1.456
"BEL",2018,1.53
"BEL",2019,1.526
"BEL",2020,1.50899999999999
"BEL",2021,1.53099999999999
"BEL",2022,1.526
"BEN",2008,2.093
"BEN",2009,2.092
